-0.096,0.020,0.984,
-0.089,0.011,0.972,
-0.096,0.019,0.979,
-0.104,0.022,1.005,
-0.107,0.024,0.994,
-0.089,0.032,0.979,
-0.080,-0.002,0.954,
-0.095,0.011,0.997,
-0.093,0.016,0.990,
-0.096,0.001,0.981,
-0.091,0.020,0.977,
-0.087,0.008,0.987,
-0.104,0.016,0.983,
-0.101,0.007,0.984,
-0.102,0.010,0.992,
-0.086,-0.005,0.979,
-0.081,0.016,0.968,
0.129,-0.054,0.978,
-0.190,0.026,1.021,
-0.093,0.009,0.996,
-0.155,-0.002,0.930,
-0.079,0.072,1.031,
-0.009,0.167,0.951,
0.094,0.015,0.889,
0.000,0.342,1.069,
-0.154,0.578,0.409,
1.223,-0.658,1.883,
-0.395,0.243,1.968,
-0.326,0.394,1.999,
0.202,1.298,1.104,
-0.216,0.557,-0.004,
-1.133,-0.669,0.355,
-0.660,-0.219,1.721,
-0.653,0.104,1.346,
-0.447,-0.261,0.849,
-0.328,-0.213,0.600,
-0.397,-0.136,0.611,
-0.055,-0.269,-1.961,
-0.074,-0.167,-1.006,
-0.186,0.064,-0.701,
-0.212,0.069,-0.524,
-0.146,0.128,-0.327,
-0.107,0.107,0.016,
-0.045,-0.105,0.741,
-0.062,-0.053,1.406,
-0.081,-0.002,1.999,
-0.187,-0.001,1.999,
-0.068,-0.114,1.999,
0.082,0.120,1.999,
0.085,0.784,1.999,
0.177,0.043,1.999,
0.243,-0.073,1.999,
0.114,-0.063,1.999,
0.047,-0.285,1.927,
-0.043,-0.309,1.565,
-0.059,-0.354,0.938,
-0.057,-0.282,0.289,
-0.127,-0.386,-0.045,
-0.102,-0.212,-0.281,
-0.099,-0.098,-0.478,
-0.080,-0.008,-0.584,
-0.105,0.098,-0.678,
-0.147,0.082,-0.603,
-0.137,0.045,-0.601,
-0.078,0.105,-0.594,
0.001,-0.064,-0.258,
0.060,-0.180,0.247,
0.097,-0.283,0.700,
0.017,-0.369,1.273,
0.125,-0.431,1.999,
0.090,-0.358,1.999,
0.088,-0.235,1.999,
-0.039,-0.052,1.999,
-0.071,0.028,1.999,
-0.163,-0.040,1.999,
-0.128,-0.246,1.999,
-0.081,-0.423,1.999,
-0.055,-0.647,1.684,
-0.021,-0.390,0.685,
-0.075,-0.384,0.176,
-0.113,-0.278,-0.107,
-0.037,-0.177,-0.460,
-0.028,-0.041,-0.656,
-0.021,0.053,-0.683,
0.000,0.051,-0.662,
-0.050,0.036,-0.685,
-0.028,0.004,-0.570,
-0.026,-0.082,-0.433,
-0.018,-0.063,-0.308,
-0.052,-0.167,0.048,
-0.046,-0.256,0.531,
-0.172,-0.407,1.098,
-0.053,-0.260,1.948,
-0.098,-0.303,1.999,
-0.166,-0.258,1.999,
-0.038,-0.120,1.999,
0.136,0.253,1.999,
0.215,0.125,1.999,
0.341,0.123,1.999,
0.355,-0.090,1.999,
0.319,-0.288,1.999,
0.215,-0.362,1.708,
0.127,-0.851,1.205,
0.146,0.000,0.434,
0.103,-0.423,0.224,
-0.132,-0.302,0.184,
-0.123,-0.234,-0.146,
-0.076,-0.077,-0.492,
-0.060,0.018,-0.652,
-0.072,0.053,-0.728,
-0.074,0.078,-0.692,
