-0.024,0.033,0.993
-0.026,0.033,1.012
-0.030,0.031,1.001
-0.023,0.033,0.986
-0.022,0.034,0.992
-0.026,0.013,0.985
-0.028,0.021,0.986
-0.026,0.026,1.018
-0.026,0.030,0.995
-0.029,0.034,0.992
-0.026,0.008,0.999
-0.026,0.026,0.980
-0.028,0.028,1.015
-0.024,0.026,1.001
-0.034,0.038,1.000
-0.025,0.027,0.985
-0.027,0.017,1.005
-0.024,0.003,0.987
-0.020,0.015,0.972
-0.054,0.113,0.925
-0.323,-0.108,1.523
0.001,-0.049,1.192
0.234,0.336,1.173
0.073,-0.253,1.133
-0.170,-0.249,1.853
-0.246,-0.263,1.999
-0.244,-0.247,1.924
-0.202,-0.243,1.349
-0.148,-0.156,0.625
-0.084,-0.074,0.140
-0.054,-0.012,-0.116
-0.049,0.043,-0.262
-0.077,0.042,-0.266
-0.147,0.101,-0.238
-0.192,0.207,-0.131
-0.299,0.256,0.113
-0.137,0.158,0.610
0.010,0.033,1.061
0.122,-0.257,1.522
0.144,-0.480,1.999
-1.031,-1.617,1.999
0.181,0.032,1.963
0.149,0.151,1.999
0.098,0.317,1.999
-0.038,0.207,1.999
-0.057,0.096,1.611
-0.096,-0.028,1.085
-0.183,-0.221,0.577
-0.195,-0.305,0.236
-0.273,-0.317,-0.113
-0.370,-0.227,-0.393
-0.390,0.018,-0.583
-0.434,0.119,-0.704
-0.358,0.177,-0.567
-0.191,0.221,-0.360
-0.085,0.218,-0.091
0.075,0.290,0.193
0.422,0.215,0.795
0.746,0.021,1.507
0.757,-0.369,1.999
0.623,-0.430,1.999
0.375,-0.153,1.999
0.161,0.207,1.999
-0.038,0.455,1.999
-0.118,0.682,1.995
-0.126,0.564,1.340
-0.147,0.236,0.873
-0.157,-0.080,0.499
-0.221,-0.299,0.267
-0.233,-0.426,0.037
-0.184,-0.455,-0.265
-0.374,-0.361,-0.498
-0.446,-0.141,-0.494
-0.399,0.112,-0.320
-0.354,0.324,-0.130
-0.187,0.508,0.126
-0.014,0.511,0.448
0.227,0.396,0.838
0.459,0.171,1.242
0.734,-0.123,1.746
0.884,-0.282,1.999
0.706,-0.496,1.999
0.148,-0.498,1.999
-0.094,0.115,1.999
-0.343,0.397,1.999
-0.376,0.379,1.915
-0.276,0.124,1.011
-0.192,-0.127,0.340
-0.159,-0.197,-0.038
-0.154,-0.236,-0.315
-0.051,-0.356,-0.226
-0.259,-0.419,-0.291
-0.231,-0.339,-0.314
-0.195,-0.160,-0.360
-0.121,0.031,-0.313
-0.029,0.141,-0.161
0.156,0.193,-0.026
0.333,0.164,0.188
0.611,-0.038,0.801
0.675,-0.466,1.711
0.308,-0.526,1.999
-0.084,-0.196,1.999
-0.396,0.093,1.999
-0.453,0.269,1.999
-0.358,0.275,1.999
-0.173,0.202,1.658
-0.110,0.024,1.100
-0.087,-0.148,0.749
-0.158,-0.331,0.400
-0.189,-0.401,0.116
-0.222,-0.281,-0.230
-0.331,-0.135,-0.511
-0.307,0.014,-0.661
-0.316,0.029,-0.629
-0.250,0.124,-0.436
-0.143,0.078,-0.118
0.049,0.092,0.300
0.130,0.129,0.728
0.253,0.153,1.024
0.338,0.164,1.166
0.305,0.187,1.378
0.300,0.232,1.715
0.311,0.254,1.999
0.259,0.068,1.999
0.231,-0.042,1.908
0.187,-0.024,1.521
0.110,0.132,1.170
0.021,0.247,1.053
0.000,0.243,0.993
0.096,0.186,0.982
0.119,0.064,0.959
0.130,-0.054,0.919
0.082,-0.137,0.938
0.109,-0.104,0.942
0.096,-0.055,0.919
0.100,-0.009,0.878
0.103,0.007,0.891
0.112,0.023,0.886
0.097,-0.016,0.940
0.090,-0.063,0.972
0.047,-0.077,0.979
0.020,-0.010,1.038
0.009,0.030,1.065
0.010,0.007,1.062
0.014,-0.028,1.042
1.056,-2.000,1.999
0.143,-0.311,1.103
0.034,-0.058,1.041
0.043,-0.053,1.062
0.009,-0.056,1.259
-0.059,0.055,1.132
0.048,0.065,0.840
0.031,0.077,0.978
-0.034,0.069,1.138
0.072,0.073,0.910
0.065,0.041,0.985
-0.019,0.001,0.924
-0.145,-0.016,1.216
-0.038,0.005,1.014
0.038,0.006,1.047
0.096,0.101,1.005
0.023,0.103,0.958
0.106,0.125,1.229
-0.069,-0.031,0.849
-0.131,-0.051,1.038
-0.260,-0.049,1.142
-0.214,-0.070,1.047
-0.160,-0.042,0.979
-0.152,-0.052,0.997
-0.034,0.004,0.987
-0.030,0.032,0.977
-0.039,0.017,0.988
-0.046,0.018,0.994
-0.048,0.019,0.988
-0.043,0.016,0.992
-0.040,0.019,0.995
-0.036,0.020,0.999
-0.042,0.021,0.997
-0.043,0.024,0.983
-0.037,0.022,0.998
-0.038,0.021,0.991
-0.042,0.021,0.997
-0.041,0.021,0.990
-0.038,0.022,0.996
-0.040,0.021,1.018
-0.041,0.026,0.994
-0.046,0.022,0.990
-0.039,0.019,0.999
-0.039,0.021,0.998
-0.021,0.021,0.974
-0.034,0.001,0.980
-0.055,0.015,1.031
-0.048,0.025,0.974
-0.041,0.027,0.988
-0.036,0.024,1.001
-0.037,0.027,0.992
-0.039,0.027,0.980
-0.048,0.017,0.995
-0.035,0.016,0.994
-0.034,0.025,0.993
-0.048,0.029,0.996
-0.042,0.013,0.976
-0.031,0.017,0.989
-0.049,0.029,0.991
-0.049,0.028,0.997
-0.040,0.014,1.003
-0.041,0.015,1.003
